Route,Factory,State/Province,Region,Shipments,Total_Sales,Total_Profit,Avg_Order_Value,Avg_Fulfillment_Days,Avg_Transit_Days,Avg_Total_Lead_Time,Avg_Distance_Miles,On_Time_Shipments,Profit_Margin_Pct,On_Time_Rate_Pct,Transit_Speed_Miles_Per_Day,Speed_Score,Efficiency Score,Is_Reliable
The Other Factory -> California,The Other Factory,California,Pacific,21,233.75,33.75,11.130952380952381,2.3333333333333335,4.238095238095238,6.571428571428571,1663.7000000000003,1,14.43850267379679,4.761904761904762,253.17173913043484,42.72299472787815,21.44,True
Secret Factory -> Arizona,Secret Factory,Arizona,Pacific,5,640.0,320.0,128.0,3.2,3.2,6.4,1256.4,0,50.0,0.0,196.3125,32.55615234375001,28.89,True
Secret Factory -> Washington,Secret Factory,Washington,Pacific,11,351.25,175.85,31.931818181818183,2.272727272727273,4.2727272727272725,6.545454545454546,1569.0,0,50.064056939501775,0.0,239.70833333333331,40.3156405883216,31.63,True
The Other Factory -> Pennsylvania,The Other Factory,Pennsylvania,Atlantic,7,97.5,7.5,13.928571428571429,2.2857142857142856,2.5714285714285716,4.857142857142857,791.1,5,7.6923076923076925,71.42857142857143,162.87352941176474,26.57702302972246,33.42,True
Secret Factory -> California,Secret Factory,California,Pacific,31,1238.75,620.55,39.95967741935484,2.4193548387096775,4.129032258064516,6.548387096774194,1602.7,2,50.09485368314833,6.451612903225806,244.74729064039408,41.216642527579275,33.89,True
Lot's O' Nuts -> British Columbia,Lot's O' Nuts,British Columbia,Pacific,18,253.4,173.8,14.077777777777778,3.3333333333333335,5.0,8.333333333333334,1638.3,0,68.5872138910813,0.0,196.59599999999998,32.60684419014084,35.42,True
Wicked Choccy's -> Manitoba,Wicked Choccy's,Manitoba,Interior,10,120.25,78.27,12.025,2.9,4.7,7.6,1735.4,0,65.08939708939708,0.0,228.34210526315792,38.28327696441809,36.18,True
Wicked Choccy's -> Nevada,Wicked Choccy's,Nevada,Pacific,12,151.5,98.82,12.625,2.75,5.583333333333333,8.333333333333334,2062.5,0,65.22772277227722,0.0,247.49999999999997,41.70884683098591,37.43,True
Wicked Choccy's -> Alberta,Wicked Choccy's,Alberta,Pacific,8,146.0,94.88,18.25,3.0,6.25,9.25,2303.4,0,64.98630136986301,0.0,249.01621621621624,41.97995723496384,37.44,True
Lot's O' Nuts -> Maine,Lot's O' Nuts,Maine,Atlantic,6,71.23,49.03,11.871666666666668,3.1666666666666665,7.166666666666667,10.333333333333334,2393.1,0,68.83335673171416,0.0,231.59032258064514,38.8640816674239,37.69,True
