Route,Factory,State/Province,Region,Shipments,Total_Sales,Total_Profit,Avg_Order_Value,Avg_Fulfillment_Days,Avg_Transit_Days,Avg_Total_Lead_Time,Avg_Distance_Miles,On_Time_Shipments,Profit_Margin_Pct,On_Time_Rate_Pct,Transit_Speed_Miles_Per_Day,Speed_Score,Efficiency Score,Is_Reliable
Lot's O' Nuts -> Alabama,Lot's O' Nuts,Alabama,Gulf,34,475.61,326.91,13.988529411764706,2.8823529411764706,3.7058823529411766,6.588235294117647,1446.5,17,68.73488782826266,50.0,219.55803571428572,36.71262192294392,51.91,True
Lot's O' Nuts -> Alberta,Lot's O' Nuts,Alberta,Pacific,16,204.32,141.42000000000002,12.77,2.625,3.4375,6.0625,1473.6,11,69.21495693030542,68.75,243.0680412371134,40.91638061293016,59.17,True
Lot's O' Nuts -> Arizona,Lot's O' Nuts,Arizona,Pacific,111,1468.05,1013.15,13.225675675675676,2.7117117117117115,1.6216216216216217,4.333333333333333,61.70000000000001,110,69.01331698511632,99.09909909909909,14.238461538461541,0.0,53.88,True
Lot's O' Nuts -> Arkansas,Lot's O' Nuts,Arkansas,Gulf,31,434.69,299.69,14.022258064516128,2.6774193548387095,2.806451612903226,5.483870967741935,1119.5,30,68.94338494099243,96.7741935483871,204.14411764705883,33.956502110087,65.05,True
Lot's O' Nuts -> British Columbia,Lot's O' Nuts,British Columbia,Pacific,18,253.4,173.8,14.077777777777778,3.3333333333333335,5.0,8.333333333333334,1638.3,0,68.5872138910813,0.0,196.59599999999998,32.60684419014084,35.42,True
Lot's O' Nuts -> California,Lot's O' Nuts,California,Pacific,1125,15044.9,10401.0,13.373244444444444,2.592888888888889,1.8248888888888888,4.417777777777777,502.8,1107,69.1330617019721,98.4,113.8128772635815,17.8046242906382,59.95,True
Lot's O' Nuts -> Colorado,Lot's O' Nuts,Colorado,Pacific,103,1447.66,999.0600000000001,14.05495145631068,2.5728155339805827,1.825242718446602,4.398058252427185,558.7,103,69.01206084301562,100.0,127.03333333333333,20.16853726525822,61.21,True
Lot's O' Nuts -> Connecticut,Lot's O' Nuts,Connecticut,Atlantic,47,523.59,362.29,11.140212765957447,2.276595744680851,4.829787234042553,7.1063829787234045,2208.3,5,69.19345289253042,10.638297872340425,310.7488023952096,53.01818924870331,45.97,True
Lot's O' Nuts -> Delaware,Lot's O' Nuts,Delaware,Atlantic,43,631.59,436.19,14.688139534883721,2.7674418604651163,5.209302325581396,7.976744186046512,2058.2,2,69.0622080780253,4.651162790697675,258.0250728862974,43.59080583629327,40.82,True
Lot's O' Nuts -> District of Columbia,Lot's O' Nuts,District of Columbia,Atlantic,8,126.0,85.3,15.75,3.0,5.25,8.25,1976.1,0,67.6984126984127,0.0,239.5272727272727,40.2832656450064,37.79,True
Lot's O' Nuts -> Florida,Lot's O' Nuts,Florida,Gulf,209,2640.13,1820.73,12.6322009569378,2.5789473684210527,4.287081339712919,6.866028708133971,1822.1,15,68.96364951725862,7.177033492822966,265.3790243902439,44.905745448299555,42.01,True
Lot's O' Nuts -> Georgia,Lot's O' Nuts,Georgia,Gulf,110,1474.09,1027.79,13.400818181818181,2.6636363636363636,4.372727272727273,7.036363636363636,1625.6,8,69.7236939399901,7.2727272727272725,231.0284237726098,38.76361010458748,40.15,True
Lot's O' Nuts -> Idaho,Lot's O' Nuts,Idaho,Pacific,14,146.5,100.9,10.464285714285714,2.642857142857143,2.7142857142857144,5.357142857142857,798.2,14,68.87372013651878,100.0,148.99733333333336,24.09585900821597,62.54,True
Lot's O' Nuts -> Illinois,Lot's O' Nuts,Illinois,Interior,267,3539.21,2452.51,13.255468164794008,2.704119850187266,3.561797752808989,6.265917602996255,1359.8,142,69.29540773223404,53.18352059925093,217.01530185295874,36.25796275429776,52.9,True
Lot's O' Nuts -> Indiana,Lot's O' Nuts,Indiana,Interior,90,1253.78,869.58,13.930888888888889,2.911111111111111,3.5555555555555554,6.466666666666667,1492.6,41,69.35666544369826,45.55555555555556,230.81443298969072,38.725347007949765,51.5,True
Lot's O' Nuts -> Iowa,Lot's O' Nuts,Iowa,Interior,16,227.87,157.47,14.241875,2.875,3.625,6.5,1193.6,11,69.10519155658929,68.75,183.6307692307692,30.288567341549292,55.41,True
Lot's O' Nuts -> Kansas,Lot's O' Nuts,Kansas,Interior,15,188.93,130.83,12.595333333333334,2.466666666666667,2.6,5.066666666666666,928.2,15,69.24786958132643,100.0,183.19736842105266,30.211072148350638,64.81,True
